frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
28,Oct 18 2022 23:36:18.579367000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,124.123.107.164,192.168.1.22,1
29,Oct 18 2022 23:36:18.589234000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,86.49.242.52,192.168.1.22,1
30,Oct 18 2022 23:36:18.742627000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,84.54.211.3,6
31,Oct 18 2022 23:36:18.748546000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,82.76.38.29,6
32,Oct 18 2022 23:36:18.748630000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,78.162.45.102,6
33,Oct 18 2022 23:36:18.772997000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,109.252.16.34,6
34,Oct 18 2022 23:36:18.772997000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,151.24.17.43,6
35,Oct 18 2022 23:36:18.772996000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,89.64.127.97,6
36,Oct 18 2022 23:36:18.773175000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,88.23.50.14,6
37,Oct 18 2022 23:36:19.140579000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,89.64.32.35,192.168.1.22,1
38,Oct 18 2022 23:36:19.219807000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,157.240.231.60,192.168.1.22,6
39,Oct 18 2022 23:36:19.220028000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,157.240.231.60,6
40,Oct 18 2022 23:36:19.220531000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,157.240.231.60,192.168.1.22,6
41,Oct 18 2022 23:36:19.220569000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,157.240.231.60,6
42,Oct 18 2022 23:36:19.230016000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,157.240.231.60,192.168.1.22,6
43,Oct 18 2022 23:36:19.288250000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,186.223.227.7,192.168.1.22,1
44,Oct 18 2022 23:36:19.336439000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,192.168.1.1,17
45,Oct 18 2022 23:36:19.475778000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,207.161.54.247,6
46,Oct 18 2022 23:36:19.475778000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,188.244.13.159,6
47,Oct 18 2022 23:36:19.475778000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,212.34.48.141,6
48,Oct 18 2022 23:36:19.475811000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,24.118.35.159,6
49,Oct 18 2022 23:36:19.475825000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,189.6.13.96,6
50,Oct 18 2022 23:36:19.475825000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,46.2.223.195,6
